Place Name,State,lat,lon,Population,Area
Greeley,CO,40.415,-104.7705556,"108,649",127.148
Green Mountain Falls,CO,38.93444444,-105.0238889,722,2.851
Greenwood Village,CO,39.61527778,-104.9130556,"15,735",21.444
Grover,CO,40.86916667,-104.2258333,153,1.542
Gunnison,CO,38.54805556,-106.9247222,"6,640",12.558
Gypsum,CO,39.62861111,-106.935,"7,375",23.222
Hartman,CO,38.12111111,-102.2216667,75,0.711
Haswell,CO,38.4525,-103.165,68,2.079
Haxtun,CO,40.64194444,-102.6297222,904,1.542
Hayden,CO,40.485,-107.2391667,"1,979",8.49
Hillrose,CO,40.32444444,-103.5222222,260,0.488
Holly,CO,38.05527778,-102.1247222,774,1.8763
Holyoke,CO,40.58194444,-102.2975,"2,208",6.414
Hooper,CO,37.74611111,-105.8777778,100,0.653
Hot Sulphur Springs,CO,40.075,-106.1030556,733,1.992
Hotchkiss,CO,38.79888889,-107.7133333,928,2.399
Hudson,CO,40.09,-104.6208333,"2,767",15.475
Hugo,CO,39.13611111,-103.4730556,777,2.362
Idaho Springs,CO,39.74444444,-105.5,"1,786",5.924
Ignacio[v],CO,37.11805556,-107.6375,908,1.325
Iliff,CO,40.75916667,-103.0661111,268,0.495
Jamestown,CO,40.11833333,-105.3916667,249,1.4898
Johnstown,CO,40.34972222,-104.9483333,"15,198",35.945
Julesburg,CO,40.985,-102.2627778,"1,152",3.916
Keenesburg,CO,40.13277778,-104.5380556,"1,237",19.596
Kersey,CO,40.39083333,-104.5794444,"1,681",5.248
Kim,CO,37.24694444,-103.3533333,70,0.981
Kiowa,CO,39.34361111,-104.4577778,761,2.231
Kit Carson,CO,38.76277778,-102.7952778,231,1.513
Kremmling,CO,40.05666667,-106.3783333,"1,524",3.389
La Jara,CO,37.27361111,-105.9597222,817,1.056
La Junta,CO,37.97916667,-103.5472222,"6,881",8.265
La Veta,CO,37.50861111,-105.0086111,811,3.539
Lafayette,CO,39.99472222,-105.0997222,"30,687",24.409
Lake City,CO,38.03,-107.3105556,394,2.169
Lakeside[w],CO,39.78027778,-105.0577778,8,0.643
Lakewood,CO,39.69777778,-105.1172222,"157,935",115.635
Lamar,CO,38.07388889,-102.6152778,"7,655",13.551
Larkspur,CO,39.23194444,-104.8922222,212,4.12
Las Animas,CO,38.06944444,-103.2236111,"2,165",4.331
LaSalle,CO,40.34833333,-104.7061111,"2,342",2.48
Leadville,CO,39.24722222,-106.2933333,"2,868",3.039
Limon,CO,39.26527778,-103.6855556,"1,952",8.268
Littleton,CO,39.59138889,-105.0188889,"48,065",35.642
Lochbuie,CO,40.01166667,-104.7272222,"7,304",9.602
Log Lane Village,CO,40.26972222,-103.8288889,849,0.508
Lone Tree,CO,39.53083333,-104.8708333,"13,082",25.403
Longmont,CO,40.16861111,-105.1005556,"97,261",78.791
Louisville,CO,39.97111111,-105.1441667,"20,816",20.914
Loveland,CO,40.41666667,-105.0622222,"78,877",92.974
Lyons,CO,40.22305556,-105.2691667,"2,189",3.534
Manassa,CO,37.17388889,-105.9372222,"1,001",2.412
Mancos,CO,37.34666667,-108.2938889,"1,430",1.662
Manitou Springs,CO,38.8575,-104.9127778,"5,390",8.157
Manzanola,CO,38.10888889,-103.8666667,417,0.736
Marble,CO,39.07166667,-107.1908333,134,0.932
Mead,CO,40.23166667,-104.9911111,"4,731",33.901
Meeker,CO,40.05,-107.8947222,"2,252",9.295
Merino,CO,40.48361111,-103.3536111,281,0.393
Milliken,CO,40.31138889,-104.8561111,"8,164",33.411
Minturn,CO,39.54611111,-106.3869444,"1,145",21.231
Moffat,CO,38.00277778,-105.9063889,119,4.314
Monte Vista,CO,37.57888889,-106.15,"4,138",6.866
Montezuma,CO,39.58138889,-105.8677778,74,0.205
Montrose,CO,38.46888889,-107.8588889,"19,782",47.854
Monument,CO,39.07361111,-104.8466667,"8,097",17.853
Morrison,CO,39.63694444,-105.2005556,424,4.269
Mount Crested Butte[y],CO,38.90833333,-106.9605556,876,5.355
Mountain View[z],CO,39.77472222,-105.0566667,537,0.241
Mountain Village,CO,37.9325,-107.8577778,"1,426",8.547
Naturita,CO,38.21833333,-108.5666667,532,1.594
Nederland,CO,39.96333333,-105.5072222,"1,533",4.013
New Castle,CO,39.5775,-107.5266667,"5,203",6.754
Northglenn,CO,39.91083333,-104.9783333,"38,819",19.277
Norwood,CO,38.12916667,-108.2919444,579,0.733
Nucla,CO,38.26666667,-108.5486111,714,1.797
Nunn,CO,40.71388889,-104.7888889,464,10.267
Oak Creek,CO,40.27416667,-106.9575,959,0.922
Olathe,CO,38.60833333,-107.9833333,"1,837",3.89
Olney Springs,CO,38.16638889,-103.9444444,340,0.623
Ophir,CO,37.85694444,-107.8311111,184,0.609
Orchard City,CO,38.81444444,-107.9705556,"3,212",29.862
Ordway,CO,38.22083333,-103.7566667,"1,054",1.998
Otis,CO,40.15,-102.9622222,486,1.07
Ouray,CO,38.0275,-107.6733333,"1,034",2.234
Ovid,CO,40.96083333,-102.3883333,300,0.403
Pagosa Springs,CO,37.2675,-107.0305556,"2,085",13.103
Palisade,CO,39.10833333,-108.3572222,"2,736",3.092
Palmer Lake,CO,39.11527778,-104.9061111,"2,993",7.952
Paoli,CO,40.61277778,-102.4716667,34,0.766
Paonia,CO,38.86972222,-107.5919444,"1,469",2.127
Parachute,CO,39.45083333,-108.0530556,"1,116",4.848
Parker,CO,39.50833333,-104.7752778,"57,706",57.869
Peetz,CO,40.96194444,-103.1138889,235,0.578
Pierce,CO,40.64111111,-104.7702778,"1,133",4.812
Pitkin,CO,38.60861111,-106.515,69,0.668
Platteville,CO,40.22194444,-104.8341667,"2,760",7.987
Poncha Springs,CO,38.51416667,-106.0941667,956,7.729
Pritchett,CO,37.37,-102.8586111,131,0.604
Pueblo,CO,38.27,-104.6113889,"112,361",145.254
Ramah,CO,39.12222222,-104.1672222,130,0.637
Rangely,CO,40.08611111,-108.7794444,"2,263",11.148
Raymer[ab],CO,40.60805556,-103.8436111,112,2.031
Red Cliff,CO,39.50916667,-106.37,282,0.632
Rico,CO,37.68916667,-108.0316667,231,1.757
Ridgway,CO,38.15722222,-107.7547222,"1,039",4.787
Rifle,CO,39.53611111,-107.7727778,"9,706",18.533
Rockvale,CO,38.36444444,-105.1647222,519,5.283
Rocky Ford,CO,38.05,-103.7225,"3,815",4.383
Romeo,CO,37.17194444,-105.9852778,411,0.604
Rye,CO,37.92138889,-104.9319444,165,0.244
Saguache[ac],CO,38.08638889,-106.1411111,505,1.021
Salida,CO,38.53,-105.9977778,"6,082",7.23
San Luis[ad],CO,37.2025,-105.4225,658,1.468
Sanford,CO,37.2575,-105.9008333,887,3.782
Sawpit[ae],CO,37.99472222,-108.0022222,39,0.078
Sedgwick,CO,40.93555556,-102.5255556,137,1.008
Seibert,CO,39.29805556,-102.8694444,213,0.888
Severance,CO,40.52666667,-104.865,"6,494",23.871
Sheridan,CO,39.64666667,-105.0183333,"6,183",5.929
Sheridan Lake,CO,38.46666667,-102.2944444,83,0.804
Silt,CO,39.54833333,-107.6533333,"3,190",4.47
Silver Cliff,CO,38.12027778,-105.4102778,667,40.039
Silver Plume,CO,39.69555556,-105.7263889,177,0.677
Silverthorne,CO,39.65611111,-106.0869444,"4,898",10.533
Silverton,CO,37.81083333,-107.6647222,663,2.162
Simla,CO,39.14083333,-104.0825,640,1.596
Snowmass Village,CO,39.22111111,-106.9391667,"2,732",72.167
South Fork,CO,37.66916667,-106.6416667,425,6.4724
Springfield,CO,37.405,-102.6188889,"1,375",2.917
Starkville,CO,37.11694444,-104.5233333,54,0.189
Steamboat Springs,CO,40.47777778,-106.8241667,"13,214",25.642
Sterling,CO,40.62055556,-103.1925,"14,495",19.641
Stratton,CO,39.30277778,-102.6033333,639,1.331
Sugar City,CO,38.23277778,-103.6633333,253,0.997
Superior,CO,39.93388889,-105.1588889,"13,087",10.286
Swink,CO,38.01416667,-103.6280556,592,0.725
Telluride,CO,37.93638889,-107.8269444,"2,479",5.755
Thornton,CO,39.91972222,-104.9438889,"141,464",98.282
Timnath,CO,40.53388889,-104.9622222,"4,998",17.069
Trinidad,CO,37.175,-104.4908333,"8,200",24.307
Two Buttes,CO,37.56055556,-102.3966667,40,0.642
Vail,CO,39.63861111,-106.3611111,"5,434",12.228
Victor,CO,38.70861111,-105.1419444,426,0.744
Vilas,CO,37.37361111,-102.4475,107,0.331
Vona,CO,39.30222222,-102.7433333,104,0.573
Walden,CO,40.73166667,-106.2813889,599,0.868
Walsenburg,CO,37.63055556,-104.7816667,"3,029",7.743
Walsh,CO,37.38611111,-102.28,516,1.158
Ward,CO,40.07222222,-105.5138889,161,1.3905
Wellington,CO,40.7,-105.0052778,"10,437",9.408
Westcliffe,CO,38.13388889,-105.4652778,628,3.202
Westminster,CO,39.88361111,-105.0625,"113,166",87.796
Wheat Ridge,CO,39.77277778,-105.1027778,"31,324",24.824
Wiggins,CO,40.22861111,-104.0725,"1,163",3.437
Wiley,CO,38.15527778,-102.7191667,393,0.806
Williamsburg,CO,38.38388889,-105.1711111,713,9.148
Windsor,CO,40.46888889,-104.92,"30,477",69.443
Winter Park,CO,39.87861111,-105.7827778,"1,090",43.743
Woodland Park,CO,38.99861111,-105.0594444,"7,885",17.1248
Wray,CO,40.08,-102.2283333,"2,349",9.018
Yampa,CO,40.15305556,-106.9086111,464,0.622
Yuma,CO,40.12361111,-102.7161111,"3,479",8.314
Absarokee,MT,45.52,-109.45,,
Alberton ,MT,47,-114.48,,
Alder,MT,45.32,-112.11,,
Alzada,MT,45.02,-104.41,,
Amsterdam,MT,45.75,-111.33,,
Anaconda,MT,46.06,-113.07,,
Antelope,MT,48.69,-104.45,,
Arlee,MT,47.17,-114.08,,
Ashland,MT,45.6,-106.3,,
Augusta,MT,47.49,-112.39,,
Avon,MT,46.63,-112.58,,
Azure,MT,48.31,-109.81,,
Babb,MT,48.88,-113.44,,
Bainville ,MT,48.14,-104.22,,
Baker ,MT,46.36,-104.27,,
Ballantine,MT,45.95,-108.14,,
Basin,MT,46.28,-112.29,,
Batavia,MT,48.18,-114.41,,
Bear Dance,MT,47.9,-114.03,,
Bearcreek ,MT,45.16,-109.16,,
Beaver Creek,MT,48.54,-109.81,,
Belfry,MT,45.14,-109,,
Belgrade ,MT,45.78,-111.18,,
Belknap,MT,47.65,-115.42,,
Belt ,MT,47.39,-110.93,,
Biddle,MT,45.11,-105.31,,
Big Arm,MT,47.79,-114.27,,
Big Sandy ,MT,48.18,-110.11,,
Big Sky,MT,45.26,-111.34,,
Big Timber ,MT,45.83,-109.95,,
Bigfork,MT,48.09,-114.06,,
Billings ,MT,45.79,-108.55,,
Birney,MT,45.42,-106.49,,
Black Eagle,MT,47.53,-111.27,,
Boneau,MT,48.29,-109.86,,
Bonner-West Riverside,MT,46.88,-113.89,,
Boulder ,MT,46.24,-112.12,,
Box Elder,MT,48.32,-110.02,,
Boyd,MT,45.46,-109.07,,
Bozeman ,MT,45.68,-111.05,,
Brady,MT,48.03,-111.84,,
Bridger,MT,45.81,-110.9,,
Bridger ,MT,45.29,-108.92,,
Broadus ,MT,45.44,-105.41,,
Broadview ,MT,46.1,-108.88,,
Brockton ,MT,48.15,-104.91,,
Browning ,MT,48.56,-113.02,,
Busby,MT,45.53,-106.98,,
Butte-Silver Bow,MT,45.9,-112.66,,
Bynum,MT,47.97,-112.32,,
Camas,MT,47.62,-114.66,,
Camp Three,MT,46.45,-108.57,,
Cardwell,MT,45.86,-111.96,,
Carlton,MT,46.68,-114.07,,
Carter,MT,47.78,-110.94,,
Cascade ,MT,47.27,-111.7,,
Charlo,MT,47.44,-114.17,,
Charlos Heights,MT,46.13,-114.18,,
Chester ,MT,48.51,-110.97,,
Chinook ,MT,48.59,-109.23,,
Choteau ,MT,47.82,-112.18,,
Churchill,MT,45.75,-111.31,,
Circle ,MT,47.42,-105.59,,
Clancy,MT,46.45,-112,,
Clinton,MT,46.77,-113.72,,
Clyde Park ,MT,45.88,-110.61,,
Colstrip ,MT,45.9,-106.63,,
Columbia Falls ,MT,48.37,-114.19,,
Columbus ,MT,45.64,-109.25,,
Condon,MT,47.52,-113.7,,
Conner,MT,45.93,-114.13,,
Conrad ,MT,48.17,-111.95,,
Cooke ,MT,45.02,-109.91,,
Coram,MT,48.43,-114.04,,
Corvallis,MT,46.31,-114.11,,
Corwin Springs,MT,45.13,-110.8,,
Craig,MT,47.07,-111.97,,
Crane,MT,47.58,-104.25,,
Crow Agency,MT,45.6,-107.46,,
Culbertson ,MT,48.15,-104.52,,
Custer,MT,46.13,-107.56,,
Cut Bank ,MT,48.63,-112.33,,
Darby ,MT,46.02,-114.18,,
Dayton,MT,47.86,-114.28,,
De Borgia,MT,47.38,-115.32,,
Deer Lodge ,MT,46.4,-112.73,,
Denton ,MT,47.32,-109.95,,
Dillon ,MT,45.22,-112.63,,
Dixon,MT,47.32,-114.36,,
Dodson ,MT,48.4,-108.25,,
Drummond ,MT,46.67,-113.15,,
Dupuyer,MT,48.19,-112.48,,
Dutton ,MT,47.85,-111.71,,
East Glacier Park Village,MT,48.45,-113.22,,
East Helena ,MT,46.59,-111.92,,
East Missoula,MT,46.88,-113.94,,
Edgar,MT,45.46,-108.86,,
Ekalaka ,MT,45.89,-104.55,,
Elkhorn,MT,46.28,-111.95,,
Elliston,MT,46.56,-112.46,,
Elmo,MT,47.83,-114.35,,
Emigrant,MT,45.38,-110.75,,
Ennis ,MT,45.35,-111.73,,
Eureka ,MT,48.88,-115.05,,
Evaro,MT,47.07,-114.02,,
Evergreen,MT,48.23,-114.27,,
Fairfield ,MT,47.62,-111.98,,
Fairview ,MT,47.85,-104.05,,
Fallon,MT,46.84,-105.13,,
Finley Point,MT,47.75,-114.07,,
Flaxville ,MT,48.8,-105.17,,
Florence,MT,46.63,-114.08,,
Forest Hill Village,MT,48.12,-114.26,,
Forsyth ,MT,46.27,-106.68,,
Fort Belknap Agency,MT,48.43,-108.68,,
Fort Benton ,MT,47.83,-110.66,,
Fort Peck ,MT,48.01,-106.46,,
Fort Shaw,MT,47.5,-111.82,,
Fort Smith,MT,45.31,-107.93,,
Fortine,MT,48.77,-114.9,,
Four Corners,MT,45.67,-111.18,,
Fox Lake,MT,47.69,-104.63,,
Frazer,MT,48.05,-106.05,,
French,MT,47.03,-114.25,,
Froid ,MT,48.34,-104.49,,
Fromberg ,MT,45.39,-108.91,,
Gallatin Gateway,MT,45.59,-111.2,,
Gallatin River Ranch,MT,45.91,-111.33,,
Gardiner,MT,45.06,-110.74,,
Garrison,MT,46.53,-112.82,,
Geraldine ,MT,47.6,-110.27,,
Geyser,MT,47.26,-110.49,,
Gibson Flats,MT,47.47,-111.24,,
Gildford,MT,48.58,-110.27,,
Glasgow ,MT,48.2,-106.63,,
Glendive ,MT,47.11,-104.71,,
Grass Range ,MT,47.03,-108.8,,
Great Falls ,MT,47.5,-111.3,,
Greycliff,MT,45.76,-109.78,,
Hamilton ,MT,46.25,-114.16,,
Happys Inn,MT,48.06,-115.14,,
Hardin ,MT,45.74,-107.61,,
Harlem ,MT,48.53,-108.78,,
Harlowton ,MT,46.44,-109.83,,
Harrison,MT,45.7,-111.79,,
Havre ,MT,48.54,-109.67,,
Havre North,MT,48.56,-109.67,,
Hays,MT,48.01,-108.66,,
Heart Butte,MT,48.29,-112.84,,
Hebgen Lake Estates,MT,44.77,-111.19,,
Helena ,MT,46.6,-112.02,,
Helena Flats,MT,48.29,-114.24,,
Helena Valley Northeast,MT,46.7,-111.95,,
Helena Valley Northwest,MT,46.73,-112.06,,
Helena Valley Southeast,MT,46.62,-111.92,,
Helena Valley West Central,MT,46.66,-112.06,,
Helena West Side,MT,46.6,-112.11,,
Heron,MT,48.06,-115.98,,
Herron,MT,48.53,-109.77,,
Highwood,MT,47.6,-110.77,,
Hingham ,MT,48.56,-110.42,,
Hinsdale,MT,48.4,-107.06,,
Hobson ,MT,47,-109.87,,
Hot Springs ,MT,47.61,-114.67,,
Hungry Horse,MT,48.38,-114.06,,
Huntley,MT,45.9,-108.31,,
Huson,MT,47.03,-114.34,,
Hysham ,MT,46.29,-107.23,,
Indian Springs,MT,48.95,-115.04,,
Inverness,MT,48.56,-110.71,,
Ismay ,MT,46.5,-104.79,,
Jardine,MT,45.06,-110.62,,
Jefferson ,MT,46.38,-112.03,,
Jette,MT,47.72,-114.19,,
Joliet ,MT,45.48,-108.97,,
Joplin,MT,48.56,-110.77,,
Jordan ,MT,47.32,-106.91,,
Judith Gap ,MT,46.68,-109.75,,
Kalispell ,MT,48.22,-114.33,,
Kerr,MT,47.68,-114.19,,
Kevin ,MT,48.75,-111.97,,
Kicking Horse,MT,47.46,-114.07,,
Kila,MT,48.12,-114.48,,
King Arthur Park,MT,45.67,-111.13,,
Kings Point,MT,47.76,-114.15,,
Klein,MT,46.4,-108.55,,
Knife River,MT,47.45,-104.35,,
Kremlin,MT,48.57,-110.09,,
Lake Mary Ronan,MT,47.93,-114.39,,
Lakeside,MT,48.02,-114.23,,
Lame Deer,MT,45.62,-106.61,,
Laurel ,MT,45.67,-108.77,,
Lavina ,MT,46.3,-108.94,,
Lewis ,MT,47.05,-109.45,,
Lewis Heights,MT,47.08,-109.47,,
Libby ,MT,48.39,-115.56,,
Lima ,MT,44.64,-112.59,,
Lincoln,MT,46.95,-112.67,,
Lindisfarne,MT,47.8,-114.21,,
Little Bitterroot Lake,MT,48.12,-114.72,,
Little Browning,MT,48.63,-112.35,,
Livingston ,MT,45.67,-110.55,,
Lockwood,MT,45.82,-108.41,,
Lodge Grass ,MT,45.31,-107.37,,
Lodge Pole,MT,48.03,-108.55,,
Logan,MT,45.88,-111.42,,
Lolo,MT,46.78,-114.1,,
Loma,MT,47.95,-110.49,,
Lonepine,MT,47.69,-114.64,,
Malmstrom AFB,MT,47.51,-111.18,,
Malta ,MT,48.36,-107.87,,
Manhattan ,MT,45.86,-111.33,,
Marion,MT,48.09,-114.67,,
Martin ,MT,48.39,-114.03,,
Martinsdale,MT,46.45,-110.31,,
Marysville,MT,46.75,-112.3,,
Maxville,MT,46.48,-113.24,,
Medicine Lake ,MT,48.5,-104.5,,
Melstone ,MT,46.6,-107.87,,
Midvale,MT,48.89,-115.05,,
Miles  ,MT,46.41,-105.84,,
Missoula ,MT,46.87,-114.01,,
Montana ,MT,46.53,-111.94,,
Moore ,MT,46.98,-109.7,,
Muddy,MT,45.58,-106.78,,
Musselshell,MT,46.51,-108.09,,
Nashua ,MT,48.13,-106.36,,
Neihart ,MT,46.94,-110.74,,
Niarada,MT,47.83,-114.56,,
North Browning,MT,48.57,-113.02,,
Noxon,MT,47.98,-115.77,,
Old Agency,MT,47.32,-114.3,,
Olney,MT,48.55,-114.57,,
Opheim ,MT,48.86,-106.41,,
Orchard Homes,MT,46.86,-114.08,,
Outlook ,MT,48.89,-104.79,,
Ovando,MT,47.02,-113.17,,
Pablo,MT,47.6,-114.11,,
Paradise,MT,47.39,-114.8,,
Park ,MT,45.63,-108.92,,
Parker School,MT,48.25,-109.73,,
Philipsburg ,MT,46.33,-113.3,,
Piltzville,MT,46.86,-113.86,,
Pinesdale ,MT,46.33,-114.22,,
Pioneer Junction,MT,48.32,-115.52,,
Plains ,MT,47.46,-114.88,,
Plentywood ,MT,48.77,-104.56,,
Plevna ,MT,46.42,-104.52,,
Polson ,MT,47.69,-114.14,,
Ponderosa Pines,MT,46.04,-111.35,,
Pony,MT,45.66,-111.88,,
Poplar ,MT,48.11,-105.2,,
Power,MT,47.72,-111.69,,
Pray,MT,45.42,-110.65,,
Pryor,MT,45.41,-108.53,,
Rader Creek,MT,45.85,-112.32,,
Radersburg,MT,46.2,-111.63,,
Ravalli,MT,47.28,-114.17,,
Red Lodge ,MT,45.19,-109.25,,
Reed Point,MT,45.71,-109.55,,
Reserve,MT,48.6,-104.47,,
Rexford ,MT,48.9,-115.17,,
Richey ,MT,47.64,-105.07,,
Riverbend,MT,47.15,-114.83,,
Roberts,MT,45.34,-109.18,,
Rocky Boy West,MT,48.3,-109.99,,
Rocky Boy's Agency,MT,48.26,-109.76,,
Rocky Point,MT,47.73,-114.19,,
Rollins,MT,47.91,-114.19,,
Ronan ,MT,47.53,-114.1,,
Roscoe,MT,45.35,-109.49,,
Rosebud,MT,46.27,-106.45,,
Roundup ,MT,46.45,-108.54,,
Roy,MT,47.33,-108.96,,
Rudyard,MT,48.56,-110.55,,
Ryegate ,MT,46.3,-109.25,,
Saco ,MT,48.46,-107.34,,
Saddle Butte,MT,48.52,-109.65,,
Sand Coulee,MT,47.4,-111.17,,
Sangrey,MT,48.28,-109.82,,
Santa Rita,MT,48.7,-112.32,,
Scobey ,MT,48.79,-105.42,,
Sedan,MT,45.97,-110.89,,
Seeley Lake,MT,47.16,-113.45,,
Shawmut,MT,46.34,-109.51,,
Shelby ,MT,48.5,-111.86,,
Shepherd,MT,45.95,-108.35,,
Sheridan ,MT,45.46,-112.19,,
Sidney ,MT,47.71,-104.17,,
Silesia,MT,45.56,-108.84,,
Silver Gate,MT,45.02,-109.98,,
Simms,MT,47.49,-111.95,,
Somers,MT,48.08,-114.23,,
South Browning,MT,48.55,-113.01,,
South Glastonbury,MT,45.31,-110.81,,
South Hills,MT,46.56,-112,,
Spokane Creek,MT,46.53,-111.74,,
Springdale,MT,45.74,-110.22,,
Springhill,MT,45.88,-111.08,,
St. Ignatius ,MT,47.32,-114.1,,
St. Marie,MT,48.41,-106.5,,
